"place_id","name","rating","user_ratings_total","address","website","price_level","url"
"ChIJuYAnGSbPsGoR8XkjRuuezLE","Vintage Vulture",4.9,41,"129 Currie St, Adelaide SA 5000, Australia","https://www.facebook.com/vintagevulture/",,"https://maps.google.com/?cid=12811789773293451761"
"ChIJfW738CrPsGoRYMji6eU6ZfI","Koyeosa",4.9,70,"449 Pulteney St, Adelaide SA 5000, Australia",,,"https://maps.google.com/?cid=17466431488972212320"
"ChIJqxGqoSTPsGoRGgoBM_wffWY","The HandleBar Adelaide",4.8,527,"140 Gray St, Adelaide SA 5000, Australia","http://handlebaradelaide.com/",2,"https://maps.google.com/?cid=7385094132005407258"
"ChIJsfteKNbOsGoR_p3NuDv0egs","Suzie Wong Bar",4.8,48,"Basement/22 Gilbert Pl, Adelaide SA 5000, Australia","http://suziewong.com.au/",,"https://maps.google.com/?cid=827242018916638206"
"ChIJcZgqVt_OsGoR4fXw676d7pI","55ml",4.7,178,"33-35 Mill St, Adelaide SA 5000, Australia","http://www.55ml.bar/",2,"https://maps.google.com/?cid=10587573217322399201"
"ChIJG4-8DyjPsGoRK3B_uxpcVDA","Proof Bar",4.7,175,"9 Anster St, Adelaide SA 5000, Australia","http://proof-bar.com/",2,"https://maps.google.com/?cid=3482509681748832299"
"ChIJL-Nh2NDOsGoRLo-fIsMzfus","Baddog Bar",4.7,135,"63 Hyde St, Adelaide SA 5000, Australia","https://m.facebook.com/pages/Baddog/832030446870700",2,"https://maps.google.com/?cid=16969057359171129134"
"ChIJ2T7ZzSnPsGoR1MVof1TS0Lc","Therapy Cocktail Bar",4.7,161,"2 Peel St, Adelaide SA 5000, Australia","http://therapycocktailbar.com.au/",,"https://maps.google.com/?cid=13245317764453287380"
"ChIJG7l7HtbOsGoR0aKvoIEri10","Mississippi Moon",4.7,90,"25 Gresham St, Adelaide SA 5000, Australia","http://www.mississippimoon.com.au/",2,"https://maps.google.com/?cid=6740529103036719825"
"ChIJ0wBS2VjPsGoRByaz85ROklU","Malt & Juniper",4.7,52,"18 Peel St, Adelaide SA 5000, Australia",,,"https://maps.google.com/?cid=6166077241474360839"
"ChIJNybvWNLOsGoRXWE3h_2lbHw","Hellbound Wine Bar",4.7,65,"Basement/201 Rundle St, Adelaide SA 5000, Australia","http://hellboundwinebar.com/",,"https://maps.google.com/?cid=8965723466501677405"
"ChIJC84e1VzJsGoRC016_MehdTY","Little Bang Brewing Company",4.7,576,"25 Henry St, Stepney SA 5069, Australia","http://littlebang.com.au/",1,"https://maps.google.com/?cid=3924220530629692683"
"ChIJA3vPhh_PsGoRUEpLhjHA68k","Five O'Clock Somewhere",4.7,59,"101 Gilbert St, Adelaide SA 5000, Australia","https://fiveoclocksomewhere.com.au/",,"https://maps.google.com/?cid=14549934340089530960"
"ChIJDRJVjN_OsGoR2z9B_w3D0rs","Prohibition Liquor Co",4.7,116,"22 Gilbert St, Adelaide SA 5000, Australia","https://prohibitionliquor.co/",,"https://maps.google.com/?cid=13534094295086219227"
"ChIJE2y8EP7OsGoRqG8dWAyrpJU","The Flying Trunk",4.7,60,"70 King William Rd, Goodwood SA 5034, Australia","https://www.theflyingtrunk.com.au/",,"https://maps.google.com/?cid=10782931477338091432"
"ChIJ_0jbNOXOsGoRfb1TN3joOjc","nook nosh",4.7,50,"111 Unley Rd, Unley SA 5061, Australia","http://nooknosh.com.au/",2,"https://maps.google.com/?cid=3979748823757208957"
"ChIJ_WoFW_jPsGoRPAvUrpTNryM","Cumbia Bar Kitchen",4.6,96,"GR, Central Market, 43 Grote St, Adelaide SA 5000, Australia","http://www.cumbia.com.au/",1,"https://maps.google.com/?cid=2571499950723828540"
"ChIJjexNFc_OsGoR5IXqQ4wGMbQ","Bar Torino",4.6,177,"158 Hutt St, Adelaide SA 5000, Australia","http://www.bartorino.com.au/",,"https://maps.google.com/?cid=12984166400190481892"
"ChIJ0Sv_6SjPsGoRcfZ5BYaAtSE","Apothecary 1878",4.6,215,"118 Hindley St, Adelaide SA 5000, Australia","http://www.theapothecary1878.com.au/",3,"https://maps.google.com/?cid=2428988887142102641"
"ChIJJcuWTukWNQARkSuJUD1mx4g","Madame Josephine's",4.6,104,"11-14/128 Hindley St, Adelaide SA 5000, Australia","https://www.madamejosephines.com.au/",,"https://maps.google.com/?cid=9855958723053824913"
"ChIJZapwiyjPsGoRwYBi0wykSnM","Sunny's Pizza",4.6,277,"17 Solomon St, Adelaide SA 5000, Australia","http://www.sunnys.pizza/",2,"https://maps.google.com/?cid=8307632837631312065"
"ChIJ6RHt0SnPsGoRrM8pq3Vsqoo","La Moka",4.6,170,"16 Peel St, Adeialde SA 5000, Australia","https://web.facebook.com/La-Moka-1443551049232132/?_rdr",2,"https://maps.google.com/?cid=9991917975913484204"
"ChIJj-Ju6CjPsGoRRxiuApuXMa8","Ancient World",4.6,90,"116A Hindley St, Adelaide SA 5000, Australia",,1,"https://maps.google.com/?cid=12624037922516899911"
"ChIJFZ-l-gvPsGoR6xDc_Poy9Tk","Cry Baby",4.6,127,"11 Solomon St, Adelaide SA 5000, Australia","https://crybabybar.com.au/",,"https://maps.google.com/?cid=4176300283021496555"
"ChIJ-YEfKtbOsGoR41jTdM0t7M0","Hains & Co",4.6,483,"23 Gilbert Pl, Adelaide SA 5000, Australia","http://www.hainsco.com.au/",2,"https://maps.google.com/?cid=14838285232730495203"
"ChIJS7VEHtbOsGoRaKSAgoMPenE","La Buvette Drinkery",4.6,179,"27 Gresham St, Adelaide SA 5000, Australia","http://www.labuvettedrinkery.com.au/",3,"https://maps.google.com/?cid=8176865130949157992"
"ChIJWaOkhtbOsGoRXRcSWkorBCs","Adventure Rooms Adelaide - Escape Rooms & Bar",4.6,255,"Level 1 and 4, 51-53 Rundle Mall, Adelaide SA 5000, Australia","http://adventurerooms.com.au/adelaide",,"https://maps.google.com/?cid=3099650041876453213"
"ChIJ3edZ7dPOsGoRuxY6Sd06hqc","Escape Hunt Adelaide: Escape Rooms & Bar",4.6,212,"Level 3/133 Rundle Mall, enter via, Twin St, Adelaide SA 5000, Australia","https://escapehunt.com/adelaide",,"https://maps.google.com/?cid=12071400573303920315"
"ChIJswV7nC3JsGoR2rYJax1gmfs","The Howling Owl",4.6,200,"10 Vaughan Pl, Adelaide SA 5000, Australia","http://www.thehowlingowl.com.au/",2,"https://maps.google.com/?cid=18129627454422759130"
"ChIJ3SVnQs3OsGoR0EMVdNRAkZY","East End Cellars",4.6,225,"25 Vardon Ave, Adelaide SA 5000, Australia","http://www.eastendcellars.com.au/",,"https://maps.google.com/?cid=10849524258537030608"
"ChIJp_RPXM3OsGoRQ3bz8x2V_Wk","BRKLYN",4.6,127,"260-262 Rundle St, Adelaide SA 5000, Australia","http://www.brklyn-adl.com/",,"https://maps.google.com/?cid=7637424498969638467"
"ChIJa6CftjLJsGoROq8BozJXTHo","Ayers House Weddings & Events",4.6,104,"288 North Terrace, Adelaide SA 5000, Australia","http://ayershouse.com.au/",,"https://maps.google.com/?cid=8812514445851995962"
"ChIJZevhFM3OsGoR1hH_pKRfQbA","El Cheeky Flamingo",4.6,94,"40/33 Vardon Ave, Adelaide SA 5000, Australia","http://www.thecheekyflamingo.com.au/",2,"https://maps.google.com/?cid=12700537584908964310"
"ChIJg9ErPM3OsGoRT-1n_O4LOQ8","NOLA Craft Beer & Whiskey",4.6,771,"28 Vardon Ave, Adelaide SA 5000, Australia","http://www.nolaadelaide.com/",2,"https://maps.google.com/?cid=1096921105306217807"
"ChIJ5xVLHtbOsGoRpG5ZuysaSeE","The Bibliotheca Bar and Book Exchange",4.6,182,"1/27 Gresham St, Adelaide SA 5000, Australia","http://bibliotheca.com.au/",2,"https://maps.google.com/?cid=16233535106962779812"
"ChIJJVhe_SDPsGoR4A6DF-rYRpA","i Darts Adelaide",4.5,112,"1/102-104 Wright St, Adelaide SA 5000, Australia","http://www.idartsaustralia.com.au/",2,"https://maps.google.com/?cid=10396235289759780576"
"ChIJS6tMgiXPsGoRBnVlPlXMT5A","Ban Ban (ADL)",4.5,192,"145 Franklin St, Adelaide SA 5000, Australia","http://ban-ban.com.au/",2,"https://maps.google.com/?cid=10398754731112887558"
"ChIJZT7Bk63PsGoRG_46xn_aWnc","Wing It Sports Bar",4.5,68,"Basement/89 King William St, Adelaide SA 5000, Australia","http://wingitsportsbar.com/",,"https://maps.google.com/?cid=8600426680738840091"
"ChIJ9XIKLijPsGoR2QasBl_RLZI","La Rambla Tapas Bar",4.5,348,"28 Peel St, Adelaide SA 5000, Australia","http://laramblatapas.com.au/",2,"https://maps.google.com/?cid=10533305309553493721"
"ChIJ1UWXMijPsGoRoMmVy0yFg74","Clever Little Tailor",4.5,178,"19 Peel St, Adelaide SA 5000, Australia","http://www.cleverlittletailor.com.au/",2,"https://maps.google.com/?cid=13727962654035003808"
"ChIJ510rMijPsGoRTmvU5oSpN-M","Kaffana",4.5,259,"27 Gilbert Pl, Adelaide SA 5000, Australia","http://www.kaffana.com.au/",2,"https://maps.google.com/?cid=16372741358602185550"
"ChIJX2vUtzrPsGoRwDHXKWKSRAs","Empire Pool Lounge",4.5,253,"2 Gresham St, Adelaide SA 5000, Australia","http://www.empirepool.com.au/",,"https://maps.google.com/?cid=811934783139951040"
"ChIJLZkIg9LOsGoRDvyZITvx68s","Mr. Goodbar",4.5,161,"12 Union St, Adelaide SA 5000, Australia","http://mrgoodbar.com.au/",2,"https://maps.google.com/?cid=14694103445495479310"
"ChIJ8fD1KNbOsGoR3mXbLyEtHwE","Red October",4.5,116,"22 Gilbert Pl, Adelaide SA 5000, Australia","http://redoctober.bar/",2,"https://maps.google.com/?cid=80832938876036574"
"ChIJ3SVnQs3OsGoRyoyMEpcXGck","Mother Vine",4.5,148,"22-26 Vardon Ave, Adelaide SA 5000, Australia","http://www.mothervine.com.au/",2,"https://maps.google.com/?cid=14490639213659983050"
"ChIJB1102irPsGoRCIM6aDkNwq8","William Magarey Room",4.5,170,"War Memorial Dr, North Adelaide SA 5006, Australia","https://www.adelaideoval.com.au/venues/william-magarey-room/",,"https://maps.google.com/?cid=12664699642332218120"
"ChIJuRm7NSvPsGoR43WFSGDm6f4","Ian McLachlan Room",4.5,133,"War Memorial Dr, North Adelaide SA 5006, Australia","http://www.adelaideoval.com.au/venuedetail/29/ian-mclachlan-room-east.aspx",,"https://maps.google.com/?cid=18368465856415233507"
"ChIJgfhEsyHPsGoRegKPhS9IRcU","Cantina Sociale",4.5,112,"108 Sturt St, Adelaide SA 5000, Australia","http://cantinasociale.com.au/",2,"https://maps.google.com/?cid=14214847167806243450"
