"place_id","name","rating","user_ratings_total","address","website","price_level","url"
"ChIJ1Z0MXc_OsGoR12Ww2E-VD8Y","Queen of Tarts",4.9,47,"178 Hutt St, Adelaide SA 5000, Australia","http://www.queenoftarts.com.au/",,"https://maps.google.com/?cid=14271789914330785239"
"ChIJm3po6inPsGoRYLSKYcBIsik","Bonobo Espresso",4.9,79,"16 Bank St, Adelaide SA 5000, Australia","http://www.bonoboespresso.com/",1,"https://maps.google.com/?cid=3004543892516942944"
"ChIJ829n_yPPsGoRiJ8ZmCogE38","SOHO Coffee Roasters",4.8,83,"Addie Pl, Adelaide SA 5000, Australia","http://coffeedistributors.com.au/",,"https://maps.google.com/?cid=9156697834686881672"
"ChIJq-e4Z9nOsGoRx67ZGFUyJJc","Archie & Co",4.8,64,"48/81 Carrington St, Adelaide SA 5000, Australia","http://www.archieandco.com/",,"https://maps.google.com/?cid=10890885139959230151"
"ChIJWcfrZM3OsGoRzTIpUqe0_f4","Laneway Espresso House",4.8,93,"4/10 Ebenezer Pl, Adelaide SA 5000, Australia","https://orders557.wixsite.com/laneway",2,"https://maps.google.com/?cid=18374040685472461517"
"ChIJY9UlXNLOsGoRIljrO580PtE","Ayla's Cafe",4.8,145,"13 Bent St, Adelaide SA 5000, Australia",,1,"https://maps.google.com/?cid=15077546460992722978"
"ChIJ_8QsNiPJsGoRvm645EpDVhQ","Delicia Acai + Protein Bar North Adelaide",4.8,51,"74A Melbourne St, North Adelaide SA 5006, Australia","http://www.deliciaacaibar.com/",,"https://maps.google.com/?cid=1465432717699608254"
"ChIJAQDw4WbPsGoRuaHCB9PdAMc","PIXIE AND THE HAWK",4.8,205,"144 Henley Beach Rd, Torrensville SA 5031, Australia","https://www.facebook.com/pixieandthehawk/menu/",2,"https://maps.google.com/?cid=14339705111985693113"
"ChIJm54SyYLPsGoRrYvFCFQRtV4","e10 espresso",4.8,51,"146 Richmond Rd, Marleston SA 5033, Australia","https://www.facebook.com/e10-espresso-178410212718097/",,"https://maps.google.com/?cid=6824379862971943853"
"ChIJ_1lUDKjPsGoRNLDixaf_m84","Roll In Saigon",4.8,82,"126 Goodwood Rd, Goodwood SA 5034, Australia",,1,"https://maps.google.com/?cid=14887774089247895604"
"ChIJKThYjN_OsGoR1EktDMrRcNA","Tell Henry on Gilbert",4.8,42,"22 Gilbert St, Adelaide SA 5000, Australia","http://tellhenry.com.au/",,"https://maps.google.com/?cid=15019735422998497748"
"ChIJAcwD38rPsGoR6_wRwBXZ554","Sibling",4.8,51,"96 Gilles St, Adelaide SA 5000, Australia",,2,"https://maps.google.com/?cid=11450359265052720363"
"ChIJt-jKTSbPsGoREdQDTJur4Mw","Elementary Coffee",4.7,183,"9-17 Young St, Adelaide SA 5000, Australia","http://www.elementarycoffee.com.au/",2,"https://maps.google.com/?cid=14762988262004085777"
"ChIJxXiBoiPPsGoR9Chwpk6IHGM","Core 51",4.7,163,"180/188 Grote St, Adelaide SA 5000, Australia","http://www.core51.com.au/",,"https://maps.google.com/?cid=7141732980483959028"
"ChIJtXPmANfOsGoRehOcSsf4xbk","Handsome and the Duchess",4.7,189,"16 McHenry St, Adelaide SA 5000, Australia",,2,"https://maps.google.com/?cid=13386379002262590330"
"ChIJEz3GHsjPsGoRjU7BMCAwOXc","Diaspora Kouzina",4.7,73,"250 Pulteney St, Adelaide SA 5000, Australia","http://diasporakouzina.com.au/",,"https://maps.google.com/?cid=8590950679000993421"
"ChIJtXk3ALzPsGoRlASJZgONYc8","The Messy Tomato",4.7,60,"151 Flinders St, Adelaide SA 5000, Australia","http://www.messytomato.com.au/",,"https://maps.google.com/?cid=14943380084336690324"
"ChIJN6xitynPsGoRH0um0bM8r-c","Station City Cafe",4.7,59,"9/52 Hindley St, Adelaide SA 5000, Australia",,1,"https://maps.google.com/?cid=16694629086699866911"
"ChIJvVys49POsGoRN46UZyLLp8E","The Lunch Room",4.7,40,"132 Grenfell St, Adelaide SA 5000, Australia","https://facebook.com/thelunchroom132/",1,"https://maps.google.com/?cid=13954345319057886775"
