"place_id","name","rating","user_ratings_total","address","website","price_level","url"
"ChIJeUsnE_7OsGoREBifnu3mPBU","The Bride Lab",5,60,"109 King William Rd, Unley SA 5061, Australia","http://www.thebridelab.com.au/",,"https://maps.google.com/?cid=1530351881641990160"
"ChIJuYAnGSbPsGoR8XkjRuuezLE","Vintage Vulture",4.9,41,"129 Currie St, Adelaide SA 5000, Australia","https://www.facebook.com/vintagevulture/",,"https://maps.google.com/?cid=12811789773293451761"
"ChIJBba1N9HOsGoR8SiVnP82_B0","Cycle Closet Adelaide",4.9,46,"Shop 2/122 Pirie St Door entry on, Hyde St, Adelaide SA 5000, Australia","https://cyclecloset.com/",,"https://maps.google.com/?cid=2160662392702576881"
"ChIJFQitLtTOsGoRA1Tn6P0cRtY","Knightsman Bespoke Tailors",4.9,75,"Adelaide Central Plaza 100 Rundle Mall,Lower Ground,Shop5B, B1, Adelaide SA 5000, Australia","http://knightsman.com.au/",,"https://maps.google.com/?cid=15440060249346102275"
"ChIJFXkA8SjPsGoR3Pk5d5M9Hp4","Quirky Stylin",4.7,45,"99A Hindley St, Adelaide SA 5000, Australia","http://www.quirkystylin.com/",,"https://maps.google.com/?cid=11393611810863708636"
"ChIJPZ19bdTOsGoRO15IwyMEBVE","Hem Express",4.7,92,"100 Rundle Mall Shop5/A, Lower, Adelaide Central plaza, Adelaide SA 5000, Australia","http://www.hemexpress.com.au/",,"https://maps.google.com/?cid=5838077043602382395"
"ChIJjwuwnN7OsGoRQ7qP3CstgAw","Adelaide Cricket Warehouse",4.7,86,"83 Gilles St, Adelaide SA 5000, Australia","http://cricketwarehouse.com.au/",,"https://maps.google.com/?cid=900769591881349699"
"ChIJccuCg9bOsGoRbsRBldpU3LY","Nespresso Boutique Adelaide",4.6,177,"57 Rundle Mall, Adelaide SA 5000, Australia","https://www.nespresso.com/au/en",,"https://maps.google.com/?cid=13176499907562947694"
"ChIJSQnBntLOsGoRxYLMToFSNRs","Dangerfield",4.6,43,"242 Rundle St, Adelaide SA 5000, Australia","http://shop.dangerfield.com.au",,"https://maps.google.com/?cid=1960563928116003525"
"ChIJzU7WoyHPsGoRaYS0cl0EcqM","Adelaide Costume Shop",4.5,98,"129 Wright St, Adelaide SA 5000, Australia","http://www.adelaidecostumeshop.com.au/",,"https://maps.google.com/?cid=11777480774930170985"
"ChIJx_V18tvOsGoRqndExLWoDZc","Bicycle Express",4.5,82,"124 Halifax St, Adelaide SA 5000, Australia","http://www.bicycleexpress.com.au/",,"https://maps.google.com/?cid=10884541373059725226"
"ChIJsWqrhNbOsGoRcM20tIig5pA","Luv Bridal & Formal",4.5,150,"1 Rundle Mall, 44 Gawler Pl, Adelaide SA 5000, Australia","https://luvbridal.com.au/outlet/adelaide-showroom/",,"https://maps.google.com/?cid=10441209295112818032"
"ChIJV6dPkNLOsGoRjoCU_mwureo","Paddy Pallin",4.5,98,"228 Rundle St, Adelaide SA 5000, Australia","http://www.paddypallin.com.au/store-locator/",,"https://maps.google.com/?cid=16910223221508571278"
"ChIJu2Yjyd_OsGoRzuAEDGbdlKE","Trims",4.5,54,"430 King William St, Adelaide SA 5000, Australia","http://www.trims.com.au/",,"https://maps.google.com/?cid=11643174367017623758"
