"place_id","name","rating","user_ratings_total","address","website","price_level","url"
"ChIJt0IUnyrPsGoRtkRNMKbnUZo","Dat Place - Wood Oven Restaurant Cocktail Lounge",5,41,"279A Hindley St, Adelaide SA 5000, Australia","http://datplace.com.au/",,"https://maps.google.com/?cid=11119923655915422902"
"ChIJIdcx42DPsGoR37XvLl9Gvy4","MiMi",4.9,44,"50 Sturt St, Adelaide SA 5000, Australia","https://mimi-restaurant.business.site/",1,"https://maps.google.com/?cid=3368488420919719391"
"ChIJ-TVICpzPsGoR3YW6OxQaEVg","Herringbone Restaurant",4.9,54,"72-74 Halifax St, Adelaide SA 5000, Australia","https://www.herringbonerestaurant.com.au/",2,"https://maps.google.com/?cid=6345882024145487325"
"ChIJfW738CrPsGoRYMji6eU6ZfI","Koyeosa",4.9,70,"449 Pulteney St, Adelaide SA 5000, Australia",,,"https://maps.google.com/?cid=17466431488972212320"
"ChIJmUiEHdfOsGoRPqmgWG-_ok4","Thea Tea Shop",4.8,177,"110 Gawler Pl, Adelaide SA 5000, Australia","http://www.theateashop.com.au/",1,"https://maps.google.com/?cid=5666301766134704446"
"ChIJWcfrZM3OsGoRzTIpUqe0_f4","Laneway Espresso House",4.8,93,"4/10 Ebenezer Pl, Adelaide SA 5000, Australia","https://orders557.wixsite.com/laneway",2,"https://maps.google.com/?cid=18374040685472461517"
"ChIJEcYYzTLJsGoRN_6PXOQ1ZLw","B'Churrasco Brazilian BBQ Restaurant Adelaide",4.8,205,"12 East Terrace, Adelaide SA 5000, Australia","http://bchurrasco.com.au/adelaide",,"https://maps.google.com/?cid=13575034431723273783"
"ChIJHxvDIzbJsGoR3H6z8BUpMlc","Pan & Vine",4.8,40,"Shop 3/58 King William St, Kent Town SA 5067, Australia","https://www.panandvine.com/",,"https://maps.google.com/?cid=6283129604344610524"
"ChIJs3GiiRjJsGoRJXNZw1G_Wks","Ben Hurs Charcoal Grill",4.8,45,"53 O'Connell St, North Adelaide SA 5006, Australia","http://benhurs.com.au/",,"https://maps.google.com/?cid=5429862658639229733"
"ChIJAQDw4WbPsGoRuaHCB9PdAMc","PIXIE AND THE HAWK",4.8,205,"144 Henley Beach Rd, Torrensville SA 5031, Australia","https://www.facebook.com/pixieandthehawk/menu/",2,"https://maps.google.com/?cid=14339705111985693113"
"ChIJ_1lUDKjPsGoRNLDixaf_m84","Roll In Saigon",4.8,82,"126 Goodwood Rd, Goodwood SA 5034, Australia",,1,"https://maps.google.com/?cid=14887774089247895604"
"ChIJ7W7OWifPsGoR3BNn2roj45Y","Revolución Mexicana ADL",4.7,105,"Central Market Arcade, Shop 47/30 Gouger St, Adelaide SA 5000, Australia","http://www.mexicana.net.au/",,"https://maps.google.com/?cid=10872573210837586908"
"ChIJe33qU9bOsGoRze_ftoCsiO0","Banh Mi - Vietnamese Rolls",4.7,51,"Grenfell Plaza, 2/25 Grenfell St, Adelaide SA 5000, Australia","http://www.banhmi.com.au/",1,"https://maps.google.com/?cid=17116120052645490637"
"ChIJD74nTf_PsGoRbINRKuuF4Ng","Naaz on Pulteney (Persian Restaurant)",4.7,56,"260 Pulteney St, Adelaide SA 5000, Australia","https://naaz-on-pulteney.business.site/?utm_source=gmb&utm_medium=referral",,"https://maps.google.com/?cid=15627637952049415020"
"ChIJmzF5ZrnPsGoRqF5PYvq7SMc","Little Korea",4.7,65,"61-65 Hyde St, Adelaide SA 5000, Australia","https://www.facebook.com/littlekoreaadl/",,"https://maps.google.com/?cid=14359934095936413352"
"ChIJtXk3ALzPsGoRlASJZgONYc8","The Messy Tomato",4.7,60,"151 Flinders St, Adelaide SA 5000, Australia","http://www.messytomato.com.au/",,"https://maps.google.com/?cid=14943380084336690324"
"ChIJPf7pzSnPsGoRKEDElN3prFU","Peel St",4.7,422,"9 Peel St, Adelaide SA 5000, Australia","http://www.peelst.com.au/",,"https://maps.google.com/?cid=6173566327111041064"
"ChIJrbPIfM3OsGoRfjgAdvr1bCo","Kutchi Deli Parwana",4.7,60,"7 Ebenezer Pl, Adelaide SA 5000, Australia","https://www.parwana.com.au/kutchi/home/",,"https://maps.google.com/?cid=3057088703148079230"
"ChIJo7yyntLOsGoRDCkWt41h5IY","Vego and Loven It",4.7,92,"240 Rundle St, Adelaide SA 5000, Australia","https://m.facebook.com/pages/Vego-n-Lovin-It/160230127342311",1,"https://maps.google.com/?cid=9720001157062338828"
"ChIJz7OaJkzJsGoRIGjEjybwMu0","The Lost Deli",4.7,130,"38 Charles St, Norwood SA 5067, Australia","https://thelostdeli.business.site/",1,"https://maps.google.com/?cid=17091987584235890720"
"ChIJJ2O890LPsGoRZtyLSXN4oRg","Yumi # Donburi - Modern Japanese cafe",4.7,45,"231A Rundle St, Adelaide SA 5000, Australia",,,"https://maps.google.com/?cid=1774832164711160934"
"ChIJC84e1VzJsGoRC016_MehdTY","Little Bang Brewing Company",4.7,576,"25 Henry St, Stepney SA 5069, Australia","http://littlebang.com.au/",1,"https://maps.google.com/?cid=3924220530629692683"
"ChIJ0T3T3SnJsGoRQ4cY6EaqZKU","Marrakech Restaurant",4.7,337,"91 O'Connell St, North Adelaide SA 5006, Australia","https://www.marrakechrestaurant.com.au/",2,"https://maps.google.com/?cid=11917837735447529283"
"ChIJxXiBoiPPsGoR9Chwpk6IHGM","Core 51",4.7,163,"180/188 Grote St, Adelaide SA 5000, Australia","http://www.core51.com.au/",,"https://maps.google.com/?cid=7141732980483959028"
"ChIJd9vW7GfPsGoRS_gcYfwmpgA","African Village Centre Restaurant",4.7,134,"2A Northcote St, Torrensville SA 5031, Australia","http://www.africanvillage-restaurant.com/",,"https://maps.google.com/?cid=46767711536871499"
