"place_id","name","rating","user_ratings_total","address","website","price_level","url"
"ChIJlQmJEMdZkWsRzUuX43GOCLo","Mosconi",5,42,"164B Arthur St, Fortitude Valley QLD 4006, Australia","https://www.mosconi.com.au/",,"https://maps.google.com/?cid=13405120910669073357"
"ChIJ_7eWWCBZkWsRAummp-S5EfA","Restaurant Dan Arnold",5,54,"10/959 Ann St, Fortitude Valley QLD 4006, Australia","http://www.restaurantdanarnold.com/",,"https://maps.google.com/?cid=17298812035423201538"
"ChIJ10IuBdlRkWsRTHuxAt0pbOU","Steve Kim's Food",5,64,"6/1 Park Rd, Milton QLD 4064, Australia",,,"https://maps.google.com/?cid=16531634361379945292"
"ChIJ18e6O9dRkWsRatLp0WX4eSQ","Ngon Brisbane",5,41,"233 Given Terrace, Paddington QLD 4064, Australia","http://ngonbrisbane.com.au/",,"https://maps.google.com/?cid=2628404973744542314"
"ChIJbUudZRtakWsRNW8vufRLe6Y","URBBANA Brisbane",4.9,72,"106 Edward St, Brisbane City QLD 4000, Australia","https://www.urbbana.com.au/",,"https://maps.google.com/?cid=11996265546882445109"
"ChIJ3YLEMRhZkWsRkRe-Tewvyjo","Istanbul 1923",4.9,110,"695 Brunswick St, New Farm QLD 4005, Australia","http://www.istanbul1923.com.au/",,"https://maps.google.com/?cid=4236251091458463633"
"ChIJGwfKJxNZkWsR4UVlZduzBsw","Mekhong Brisbane",4.9,53,"Shop 2/702 Brunswick St, New Farm QLD 4005, Australia","https://mekhong-brisbane.business.site/",,"https://maps.google.com/?cid=14701635788477908449"
"ChIJAT9BcB1ZkWsR607nTwgzO4I","La Cache � V�n",4.9,79,"215 Wharf St, Spring Hill QLD 4000, Australia","http://www.lacacheavin.com.au/",,"https://maps.google.com/?cid=9384150359349874411"
"ChIJ2eHnYldZkWsRYy81nLiNdu4","Via He",4.9,48,"11 Little St, Fortitude Valley QLD 4006, Australia",,,"https://maps.google.com/?cid=17183077252312936291"
"ChIJDQ9z7YZZkWsR6Xv1KbIa28w","Soapbox Beer",4.9,43,"89/101 Gipps St, Fortitude Valley QLD 4006, Australia","https://www.soapbox.beer/",,"https://maps.google.com/?cid=14761421556147387369"
