name,rating,user_ratings_total,address,price_level,url
Casa tajine,5,46,"164 Rathdowne St, Carlton VIC 3053, Australia",,https://maps.google.com/?cid=3742988908537480558
BellyQ,5,51,"354 Smith St, Collingwood VIC 3066, Australia",,https://maps.google.com/?cid=897933716574835117
Euro Kitchen Vegan Cafe/Restaurant,5,84,"100 Kerr Street Corner of Kerr &, Brunswick St, Fitzroy VIC 3065, Australia",,https://maps.google.com/?cid=17156731089011730804
WaKenbo,4.9,48,"69 Victoria St, Fitzroy VIC 3065, Australia",,https://maps.google.com/?cid=11251808576791011273
Adonai Restaurant (Nigerian Cuisine),4.9,75,"478 Drummond St, Carlton VIC 3053, Australia",,https://maps.google.com/?cid=12878832737712988596
Henry Sugar,4.9,184,"296-298 Rathdowne St, Carlton North VIC 3054, Australia",2,https://maps.google.com/?cid=4272247902657942412
Hunters & Disciples,4.9,67,"39/617 Spencer St, West Melbourne VIC 3003, Australia",,https://maps.google.com/?cid=12759497806657568209
Henry St Brewhouse,4.9,47,"5/38 Barrett St, Kensington VIC 3031, Australia",,https://maps.google.com/?cid=9275785949075554717
Foglia Di Fico,4.9,139,"585 La Trobe St, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=9353873205641165097
Queen Caterina Pizza e Birra,4.9,53,"78 Wellington Parade, East Melbourne VIC 3002, Australia",,https://maps.google.com/?cid=13302566206711012921
Pick A Pokit,4.9,42,"106 Swan St, Cremorne VIC 3121, Australia",,https://maps.google.com/?cid=12377015446073292517
T&L - Bakery & Café,4.9,54,"174 Swan St, Cremorne VIC 3121, Australia",,https://maps.google.com/?cid=16313629952838995194
ISH,4.8,82,"199 Gertrude St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=12207713085456596928
Sook Thai Food & Bar,4.8,55,"98 Smith St, Collingwood VIC 3066, Australia",,https://maps.google.com/?cid=7363782508680317768
Congress,4.8,106,"49 Peel St, Collingwood VIC 3066, Australia",,https://maps.google.com/?cid=10940730248619641629
Smith and Deli,4.8,549,"111 Moor St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=8035753631840640223
Scopri Italian Food and Wine,4.8,364,"191 Nicholson St, Carlton VIC 3053, Australia",3,https://maps.google.com/?cid=10022751943163478212
