name,rating,user_ratings_total,address,price_level,url
Twin Pecks Cabaret,5,53,"33-35 Darlinghurst Rd, Potts Point NSW 2011, Australia",,https://maps.google.com/?cid=14856689507590885273
Sandwich Works & Coffee Bar,4.9,45,"173 Blues Point Rd, North Sydney NSW 2060, Australia",1,https://maps.google.com/?cid=4381696558511785545
Punjabi Fusion Sydney,4.9,53,"Shop 6&7/168 Kent St, Millers Point NSW 2000, Australia",,https://maps.google.com/?cid=2447519553990969294
God's Creation,4.9,45,"358 Darling St, Balmain NSW 2041, Australia",2,https://maps.google.com/?cid=725169845234649230
Bruce Tea & Coffee,4.9,111,"12 Bridge Rd, Glebe NSW 2037, Australia",,https://maps.google.com/?cid=15794254129001132244
Gelato Messina Creative Department,4.9,66,"243 Victoria St, Darlinghurst NSW 2010, Australia",2,https://maps.google.com/?cid=14221524165088838473
6HEAD,4.8,64,"Bay 10 & 11, Campbells Stores, 7-27 Circular Quay W, The Rocks NSW 2000, Australia",,https://maps.google.com/?cid=10145858820679989664
Young's,4.8,57,"12 Mary Ann St, Ultimo NSW 2007, Australia",,https://maps.google.com/?cid=6667081451721086288
Chester White Cured Diner,4.8,248,"3 Orwell St, Potts Point NSW 2011, Australia",2,https://maps.google.com/?cid=9474516828037989035
Bang Tang Potts Point,4.8,71,"2/145 Victoria St, Potts Point NSW 2011, Australia",,https://maps.google.com/?cid=16010649503431583949
Chapter E,4.8,142,"201 Darlinghurst Rd, Darlinghurst NSW 2010, Australia",,https://maps.google.com/?cid=3354182991025964112
House Bar&Bistrot,4.8,82,"62-64 Kellett St, Potts Point NSW 2011, Australia",2,https://maps.google.com/?cid=12814643017102055079
Enya,4.8,86,"58a Bayswater Rd, Rushcutters Bay NSW 2011, Australia",2,https://maps.google.com/?cid=2349890284056616286
Joe's table,4.8,66,"1/28 Kings Ln, Darlinghurst NSW 2010, Australia",,https://maps.google.com/?cid=4305179855178634441
Oski Cafe,4.7,124,"11 Bligh St, Kirribilli NSW 2061, Australia",,https://maps.google.com/?cid=14397007152592097363
Kiyo japanese restaurant,4.7,129,"48 Harris St, Pyrmont NSW 2009, Australia",2,https://maps.google.com/?cid=16350667757892675926
Hole in the Wall: Sandwich Factory,4.7,53,"229 Macquarie St, Sydney NSW 2000, Australia",1,https://maps.google.com/?cid=3984857487448107163
EIJU Fusion Japanese Dining,4.7,50,"196 Harris St, Pyrmont NSW 2009, Australia",,https://maps.google.com/?cid=5436773238367900042
Big Bite on Pitt,4.7,169,"3/250 Pitt St, Sydney NSW 2000, Australia",1,https://maps.google.com/?cid=10182684801966067709
Malibu Sydney,4.7,148,"62 Foster St, Surry Hills NSW 2010, Australia",1,https://maps.google.com/?cid=8345181997011220203
Marrickville Pork Roll,4.7,167,"16 Steam Mill La, Haymarket NSW 2000, Australia",1,https://maps.google.com/?cid=3762370889641868946
Nawaz Flavour of India,4.7,459,"142a Glebe Point Rd, Sydney NSW 2037, Australia",2,https://maps.google.com/?cid=6291026477752991947
Franca Brasserie,4.7,43,"Shop 2/81 MacLeay St, Potts Point NSW 2011, Australia",,https://maps.google.com/?cid=4584293667019417568
Macleay Street Pizza,4.7,43,"101 MacLeay St, Potts Point NSW 2011, Australia",,https://maps.google.com/?cid=4949774387991822177
Orwells Coffee,4.7,126,"4/29 Orwell St, Potts Point NSW 2011, Australia",2,https://maps.google.com/?cid=15024630541494915467
Cafe Two Ants,4.7,165,"70 Elizabeth Bay Rd, Elizabeth Bay NSW 2011, Australia",2,https://maps.google.com/?cid=517756733845774550
Joseph Hyde,4.7,162,"34 Llankelly Pl, Potts Point NSW 2011, Australia",,https://maps.google.com/?cid=10536387387217962213
Glider,4.7,143,"197 Victoria St, Potts Point NSW 2011, Australia",,https://maps.google.com/?cid=3416768208539868720
Friggitoria,4.7,582,"6/12 Bayswater Rd, Potts Point NSW 2011, Australia",1,https://maps.google.com/?cid=17321185773422924280
Parsons Bar,4.7,82,"3 Kellett St, Potts Point NSW 2011, Australia",2,https://maps.google.com/?cid=9452195208214707062
Cafe Organism,4.7,162,"288 Crown St, Darlinghurst NSW 2010, Australia",2,https://maps.google.com/?cid=13284102874375530835
Cafe Green Bay,4.7,55,"50 McLachlan Ave, Darlinghurst NSW 2010, Australia",,https://maps.google.com/?cid=5138958273882313920
The Farmhouse Restaurant,4.7,245,"4/40 Bayswater Rd, Rushcutters Bay NSW 2011, Australia",,https://maps.google.com/?cid=14697309050004568341
Flavour of India Edgecliff,4.7,351,"128 New South Head Rd, Edgecliff NSW 2027, Australia",1,https://maps.google.com/?cid=7437895392667798675
KONAKARA,4.7,92,"96 Fitzroy St, Surry Hills NSW 2010, Australia",2,https://maps.google.com/?cid=1044783108531245653
Tequila Mockingbird,4.7,255,"6 Heeley St, Paddington NSW 2021, Australia",3,https://maps.google.com/?cid=13569487064671909305
Arts Bar,4.7,53,"27 Oxford Street corner, Rosebud Ln, Paddington NSW 2021, Australia",,https://maps.google.com/?cid=13620559690643203292
GPO Cheese and Wine Room,4.6,138,"Lower Ground Floor, Sydney, GPO Building, 1 Martin Pl, Sydney NSW 2000, Australia",1,https://maps.google.com/?cid=5703810706430965212
Restaurant Hubert,4.6,1362,"15 Bligh St, Sydney NSW 2000, Australia",3,https://maps.google.com/?cid=11838325964603896806
Schnitz,4.6,44,"Gateway Sydney, Shop G-03/1 Macquarie Pl, Sydney NSW 2000, Australia",2,https://maps.google.com/?cid=15179523038825523258
William Blue Dining,4.6,233,"107 George St, The Rocks NSW 2000, Australia",2,https://maps.google.com/?cid=13433019617808925417
Firestone,4.6,65,"35 George St, The Rocks NSW 2000, Australia",,https://maps.google.com/?cid=17468977542206973517
Sails on Lavender Bay,4.6,355,"2 Henry Lawson Ave, McMahons Point NSW 2060, Australia",4,https://maps.google.com/?cid=9707573496522400297
Billi Raw Espresso & Superfoods,4.6,49,"4/3A Broughton St, Kirribilli NSW 2061, Australia",,https://maps.google.com/?cid=1620382349306677660
